# zHD       = redshift in CMB frame with VPEC correction
# zHEL      = helio redshift (beware: no VPEC corr) 
# MU        = distance modulus corrected for bias and contamination
# MUERR     = stat-uncertainty on MU 
# MUERR_SYS = sqrt(COVSYS_DIAG) for 'ALL' sys (diagnostic)
# PROB1A_BEAMS = SNIa BEAMS probability from BBC (diagnostic)
# ISDATA_REAL: 1   # flag for cosmology fitter to choose blind option
#
VARNAMES: CID IDSURVEY zHD zHEL MU MUERR MUERR_VPEC MUERR_SYS PROBIA_BEAMS
SN: Gaia16agf  150 0.02509 0.02507 35.28746   0.17120  0.07310  0.07135  1.00000
SN: 2003it      63 0.02510 0.02528 35.06359   0.15670  0.07300  0.04455  1.00000
SN: 2007cq      64 0.02510 0.02604 34.96325   0.13360  0.07300  0.03215  1.00000
SN: AT2017cfc  150 0.02512 0.02403 35.09697   0.12810  0.07300  0.03967  1.00000
SN: 2007sw      65 0.02517 0.02428 35.25594   0.15640  0.07280  0.03856  1.00000
SN: 2002he      63 0.02519 0.02441 35.22662   0.12450  0.07280  0.03237  1.00000
SN: 2002bf      63 0.02525 0.02438 35.05544   0.15440  0.07260  0.04935  1.00000
SN: ASASSN-16bq 150 0.02534 0.02493 35.33414   0.11140  0.07240  0.04302  1.00000
SN: PS15ahs    150 0.02534 0.02551 35.29824   0.10740  0.07240  0.03162  1.00000
SN: PSNJ0153424 150 0.02556 0.02565 35.23108   0.15710  0.07170  0.05128  1.00000
SN: SN2017hn   150 0.02557 0.02385 35.20354   0.12060  0.07170  0.03608  1.00000
SN: SN2017ms   150 0.02591 0.02448 35.32388   0.11050  0.07080  0.03126  1.00000
SN: PSNJ2352371 150 0.02596 0.02648 35.42019   0.13760  0.07060  0.04994  1.00000
SN: 2005M       64 0.02598 0.02484 35.18475   0.13590  0.07060  0.05544  1.00000
SN: SN2017mf   150 0.02598 0.02561 35.36616   0.12250  0.07060  0.08185  1.00000
SN: 2005ms      64 0.02669 0.02522 35.48154   0.10640  0.06870  0.04924  1.00000
SN: ASASSN-15mf 150 0.02695 0.02604 35.29364   0.10450  0.06810  0.02960  1.00000
SN: ASASSN-17at 150 0.02713 0.02537 35.34659   0.10650  0.06760  0.04286  1.00000
SN: 2007co      64 0.02731 0.02696 35.42848   0.14650  0.06720  0.14530  1.00000
SN: 2007su      65 0.02740 0.02783 35.46945   0.22710  0.06700  0.22750  1.00000
SN: ASASSN-15fa 150 0.02741 0.02734 35.57991   0.14610  0.06700  0.04605  1.00000
SN: 2006ev      64 0.02810 0.02873 35.73499   0.14610  0.06530  0.04014  1.00000
SN: 2005eq      64 0.02823 0.02893 35.63998   0.11500  0.06500  0.03062  1.00000
SN: 2003U       63 0.02833 0.02810 35.34351   0.14290  0.06480  0.06225  1.00000
SN: 2009ad      65 0.02844 0.02840 35.46886   0.09890  0.06460  0.03986  1.00000
SN: 2008ar      65 0.02849 0.02617 35.45659   0.09980  0.06450  0.05442  1.00000
SN: AT2017ns   150 0.02849 0.02877 35.43005   0.17950  0.06450  0.08629  1.00000
SN: 2004gs       5 0.02857 0.02740 35.53486   0.16820  0.06430  0.07616  1.00000
SN: SN2017ckx  150 0.02858 0.02716 35.60284   0.13270  0.06430  0.03325  1.00000
SN: 2007is      65 0.02866 0.02953 35.59071   0.12850  0.06410  0.10382  1.00000
SN: 2006qo      64 0.02898 0.02837 35.51453   0.17970  0.06340  0.08740  1.00000
SN: PS16cvc    150 0.02915 0.02954 35.81029   0.10150  0.06300  0.03097  1.00000
SN: 2003ch      63 0.02919 0.02833 35.72656   0.11290  0.06290  0.05327  1.00000
SN: ASASSN-16ay 150 0.02938 0.02834 35.68750   0.17580  0.06250  0.08615  1.00000
SN: PSNJ0859349 150 0.02938 0.02812 35.51358   0.14910  0.06250  0.14294  1.00000
SN: ASASSN-16fs 150 0.02944 0.02920 35.42543   0.10620  0.06240  0.03534  1.00000
SN: ASASSN-16aj 150 0.02953 0.03075 35.52948   0.12080  0.06220  0.05058  1.00000
SN: ASASSN-16br 150 0.02956 0.02852 35.56585   0.11340  0.06220  0.04825  1.00000
SN: AT2017zd   150 0.02969 0.02947 35.38734   0.11210  0.06190  0.10016  1.00000
SN: ATLAS17ajn 150 0.02978 0.02871 35.64827   0.11320  0.06170  0.04633  1.00000
SN: Gaia16bba  150 0.02990 0.03046 35.52438   0.10860  0.06150  0.03361  1.00000
SN: 2004ef      64 0.03012 0.03101 35.52383   0.14480  0.06100  0.05301  1.00000
SN: ASASSN-15nq 150 0.03023 0.03036 35.69131   0.09220  0.06080  0.04089  1.00000
SN: AT2017lm   150 0.03031 0.03064 35.62491   0.12870  0.06060  0.03213  1.00000
SN: ASASSN-16fo 150 0.03036 0.02890 35.61271   0.09210  0.06050  0.06610  1.00000
SN: AT2016cyt  150 0.03059 0.03074 35.50249   0.09660  0.06010  0.04505  1.00000
